question_id,embedding_model,retrieved_chunk_ids,relevant_chunk_ids,retrieval_seconds
Q001,all_minilm_l6_v2,rbi_operational_risk_resilience_2024_p3_c1|rbi_credit_risk_management_p1_c1|rbi_operational_risk_resilience_2024_p2_c2|rbi_operational_risk_resilience_2024_p5_c1|rbi_operational_risk_resilience_2024_p17_c1,rbi_operational_risk_resilience_2024_p18_c2|rbi_operational_risk_resilience_2024_p22_c1,0.04556200000001809
Q002,all_minilm_l6_v2,rbi_operational_risk_resilience_2024_p2_c1|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p5_c1|rbi_operational_risk_resilience_2024_p6_c1|rbi_operational_risk_resilience_2024_p2_c2,rbi_operational_risk_resilience_2024_p8_c2|rbi_operational_risk_resilience_2024_p9_c1,0.011404299999981049
Q003,all_minilm_l6_v2,rbi_operational_risk_resilience_2024_p12_c1|rbi_operational_risk_resilience_2024_p30_c1|rbi_operational_risk_resilience_2024_p30_c2|rbi_operational_risk_resilience_2024_p24_c1|rbi_operational_risk_resilience_2024_p23_c2,rbi_operational_risk_resilience_2024_p12_c1|rbi_operational_risk_resilience_2024_p18_c1,0.00985579999996844
Q004,all_minilm_l6_v2,rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p6_c1|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p1_c2|rbi_credit_risk_management_p4_c1,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p3_c1,0.02051300000005085
Q005,all_minilm_l6_v2,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p5_c2|rbi_credit_risk_management_p5_c1|rbi_credit_risk_management_p6_c1|rbi_credit_risk_management_p16_c3,rbi_credit_risk_management_p5_c1|rbi_credit_risk_management_p5_c2,0.009788400000047659
Q006,all_minilm_l6_v2,rbi_stress_testing_guidelines_p5_c3|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p29_c1|rbi_credit_risk_management_p24_c1|rbi_credit_risk_management_p16_c3,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p26_c1|rbi_credit_risk_management_p27_c1,0.009998600000017177
Q007,all_minilm_l6_v2,rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p3_c3|rbi_stress_testing_guidelines_p15_c1|rbi_stress_testing_guidelines_p4_c1|rbi_stress_testing_guidelines_p7_c1,rbi_stress_testing_guidelines_p4_c2|rbi_stress_testing_guidelines_p4_c3,0.010373199999889948
Q008,all_minilm_l6_v2,rbi_stress_testing_guidelines_p7_c1|rbi_stress_testing_guidelines_p2_c1|rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p7_c3|rbi_stress_testing_guidelines_p4_c2,rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p7_c1,0.011416899999971974
Q009,all_minilm_l6_v2,rbi_model_risks_in_credit_draft_2024_p1_c1|rbi_model_risks_in_credit_draft_2024_p3_c1|rbi_credit_risk_management_p25_c1|rbi_credit_risk_management_p17_c2|rbi_credit_risk_management_p1_c1,rbi_model_risks_in_credit_draft_2024_p3_c2|rbi_model_risks_in_credit_draft_2024_p5_c1,0.011116499999957341
Q010,all_minilm_l6_v2,rbi_governance_private_sector_banks_p2_c1|rbi_governance_private_sector_banks_p1_c2|rbi_governance_private_sector_banks_p1_c1|rbi_credit_risk_management_p2_c2|rbi_governance_private_sector_banks_p3_c1,rbi_governance_private_sector_banks_p1_c2|rbi_governance_private_sector_banks_p3_c2,0.01121499999999287
Q011,all_minilm_l6_v2,rbi_operational_risk_resilience_2024_p2_c2|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p2_c1|rbi_credit_risk_management_p1_c1|rbi_operational_risk_resilience_2024_p1_c1,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p1_c2,0.010513100000025588
Q012,all_minilm_l6_v2,rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p1_c2|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p16_c1|rbi_model_risks_in_credit_draft_2024_p1_c1,rbi_credit_risk_management_p2_c3|rbi_credit_risk_management_p3_c1,0.009615199999984725
