chunk_id,doc_id,source_file,page_no_start,page_no_end,section_heading,chunk_text
bcbs292_p1_c1,bcbs292,bcbs292.pdf,1,1,,Basel Committee on Banking Supervision Review of the Principles for the Sound Management of Operational Risk 6 October 2014
bcbs292_p2_c1,bcbs292,bcbs292.pdf,2,2,,This publication is available on the BIS website (www.bis.org). © Bank for International Settlements 2014. All rights reserved. Brief excerpts may be reproduced or translated provided the source is stated. ISBN 92-9131-978-92-9131-554-3 (print) ISBN 92-9197-978-92-9131-556-7 (online)
bcbs292_p3_c1,bcbs292,bcbs292.pdf,3,3,,Contents Review of the Principles for the Sound Management of Operational Risk ................................................................ 1 1. Executive summary ......................................................................................................................................................... 1 Key findings and observations .................................................................................................................................. 1 Fundamental principles of operational risk management .............................................................................. 3 Three lines of defence ................................................................................................................................................... 4 Recommendations .......................................................................................................................................................... 5 2. Introduction ...................................................................................................................................................................... 6 3. Findings and observations .......................................................................................................................................... 6 Principle 1: Operational risk culture ........................................................................................................................ 6 Principle 2: Operational risk management framework .................................................................................... 8 Principle 3: Board of directors .................................................................................................................................. 10 Principle 4: Operational risk appetite and tolerance ...................................................................................... 12 Principle 5: Senior management ............................................................................................................................. 13 Principle 6: Risk identification and assessment ................................................................................................. 15 Principle 7: Change management .......................................................................................................................... 25 Principle 8: Monitoring and reporting .................................................................................................................. 27 Principle 9: Control and mitigation ........................................................................................................................ 28 Principle 10: Business resilience and continuity................................................................................................ 31 Principle 11: Role of disclosure................................................................................................................................ 33 Overarching principle of the three lines of defence ....................................................................................... 34 First line of defence ...................................................................................................................................................... 35 Second line of defence ............................................................................................................................................... 36 Third line of defence .................................................................................................................................................... 37 4. Recommendations ........................................................................................................................................................ 39 Appendix I – Participating jurisdictions .................................................................................................................................. 43 Appendix II: Guidance for bank questionnaire ratings ..................................................................................................... 44 Appendix III: PSMOR principles ................................................................................................................................................. 45 Appendix IV: Emerging and noteworthy practices ............................................................................................................ 52 Review of the Principles for the Sound Management of Operational Risk iii
bcbs292_p4_c1,bcbs292,bcbs292.pdf,4,4,,"Review of the Principles for the Sound Management of Operational Risk 1. Executive summary In June 2011 the Basel Committee on Banking Supervision published its “Principles for the Sound Management of Operational Risk”1 (“the Principles”) to provide guidance to banks on the management of operational risk. The eleven principles incorporate the lessons from the financial crisis and the evolution of sound practice for management of operational risk. The Principles cover governance, the risk management environment and the role of disclosure, and address the three lines of defence (business line management, an independent corporate operational risk management function and an independent review). In light of the significant number of recent operational risk-related losses incurred by banks, and consistent with the Committee’s greater focus on monitoring the implementation of its standards and guidance, earlier this year the Basel Committee conducted a review of the implementation of its Principles.2 The review involved 60 systemically important banks in 20 jurisdictions and covered all 11 principles with a specific focus on the guidance related to the three lines of defence. The exercise was designed as a questionnaire by which banks self-assessed their implementation of the Principles. While it was conducted under the overall supervision of the Basel Committee and the respective supervisory authorities, the review did not involve an onsite validation of the banks’ responses. The objectives of the exercise were to (i) establish the extent to which banks have implemented the Principles, (ii) identify significant gaps in their implementation and (iii) highlight emerging and noteworthy operational risk management practices at banks that are not currently addressed by the Principles. Key findings and observations Overall, banks have made insufficient progress in implementing the Principles originally introduced in 2003 and revised in 2011.3 Many banks are still in the process of implementing various principles. Systemically important banks (SIBs) have implemented the Principles and the operational risk management tools to varying degrees. Historically, implementation of the Principles was strongly aligned with the Basel Framework’s approaches to calculating operational risk capital requirements such as The Standardised Approach (TSA) and the Advanced Measurement Approach (AMA). Banks applying these more advanced approaches are expected to have more advanced operational risk management 1 Available at www.bis.org/publ/bcbs195.htm. 2 In its November 2012 “Progress Report to the G20 Ministers and Governors”, the Financial Stability Board (FSB) said that recent events underscored the need for supervisors to increase their focus on operational risk management,"
bcbs292_p4_c2,bcbs292,bcbs292.pdf,4,4,,"and the Advanced Measurement Approach (AMA). Banks applying these more advanced approaches are expected to have more advanced operational risk management 1 Available at www.bis.org/publ/bcbs195.htm. 2 In its November 2012 “Progress Report to the G20 Ministers and Governors”, the Financial Stability Board (FSB) said that recent events underscored the need for supervisors to increase their focus on operational risk management, particularly for global systemically important financial institutions (see www.financialstabilityboard.org/publications/r_121031ab.pdf). In addition, the FSB recommended that the BCBS conduct a peer review on implementation of its Principles by June 2014. 3 Throughout the report, reference is made to varying quantities of bank responses using the words ‘few – typically less than10, ‘some’ – typically more than 10 but less than 20 and ‘many’ – typically more than 20. Review of the Principles for the Sound Management of Operational Risk 1"
bcbs292_p5_c1,bcbs292,bcbs292.pdf,5,5,,"frameworks and implement to a greater degree the operational risk management tools, which include risk and control self-assessments (RCSAs), internal loss data collection, scenario analysis, external data collection and analysis, key risk indicators (KRIs)/key performance indicators (KPIs), change management and comparative analysis. Some SIBs, however, have yet to implement all of the Principles and do not deploy the full range of operational risk management tools. This may be because some of the banks are not subject to the most advanced approaches to operational risk and the associated higher expectations for managing the risk. Therefore, these banks may not be adequately identifying and managing their operational risk exposures. Methods for identifying and managing operational risk should be seen as complementary to the calculation of operational risk capital requirements, rather than as a consequence of that activity. Aligning the implementation of the risk management principles with the risk profile and systemic importance of banks, rather than the approaches selected to calculate operational risk capital requirements, is also be consistent with the objective of more intensive and effective supervision of systemically important banks. The following chart summarises the average bank ratings4,5 for each of the Principles and the three lines of defence. This review has identified various challenges and themes within each of the principles. Four principles have been identified as among the least thoroughly implemented by banks including (i) operational risk identification and assessment, (ii) change management, (iii) operational risk appetite and tolerance, and (iv) disclosure. In addition, weaknesses have been observed in the implementation of the 4 Rating: 1 – Not implemented; 2 – Materially not complied with; 3 – Largely complied with; 4 – Fully complied with; N/A – Not applicable. 5 Average rating calculated using arithmetic average of ratings 1–4. Where banks rated the practice as n/a, a 0 rating was assigned. 2 Review of the Principles for the Sound Management of Operational Risk"
bcbs292_p6_c1,bcbs292,bcbs292.pdf,6,6,,"overarching principle of the three lines of defence. The following section summarises the challenges and themes related to these principles. Fundamental principles of operational risk management Operational risk identification and assessment (Principle 6) Overall, while banks have implemented some of the operational risk identification and assessment tools, others are not fully implemented or are not being effectively used for risk management purposes. Some banks indicated that the tools that had been implemented were largely used for risk measurement purposes (ie capital measurement and allocation), while others indicated that tools had not been fully implemented because they were not deemed necessary for risk measurement purposes. In addition, a wide range of practice was reported regarding the implementation of many of these tools. For instance, while many banks have implemented distinct, multi-tiered operational risk management tools (ie RCSAs, scenario analysis, business process mapping), other banks noted that they have chosen to implement one tool that would serve the purpose of two or possibly three tools together (ie a scenario-based RCSA, a process-based RCSA etc). Furthermore, at some banks, considerable management effort will be required to ensure the bank-wide implementation of certain tools. These include key risk and performance indicators; external data collection and analysis; and comparative analysis as well as the creation and monitoring of action plans generated through the use of the operational risk management tools. Change management (Principle 7) Overall, there are many aspects of change management that have not been fully implemented by many of the banks. The change management principle had one of the lower average ratings assigned, indicating that banks are continuing to implement and enhance their existing change management programmes (eg new products and initiatives). Only about two thirds of the banks have fully implemented risk and control assessments within the change management process for new products and initiatives. While the Principles define changes to include new products, activities, processes and systems, there is a wide range of practice as it relates to the policy framework for change management processes. For instance, a few banks said that their governance framework did not apply to all types of change such as outsourcing. Many banks also noted that the operational risk taxonomy is either not applied, or not consistently applied, to various changes including new products, activities, processes and systems. Alignment with the bank’s taxonomy would allow for integration and aggregation of results with the overall risk profile."
bcbs292_p6_c2,bcbs292,bcbs292.pdf,6,6,,"that their governance framework did not apply to all types of change such as outsourcing. Many banks also noted that the operational risk taxonomy is either not applied, or not consistently applied, to various changes including new products, activities, processes and systems. Alignment with the bank’s taxonomy would allow for integration and aggregation of results with the overall risk profile. Several banks noted that the roles and responsibilities relating to change management were included within either the bank’s operational risk management framework or underlying change management-related policies. Many banks also noted the involvement of several control groups within the second line of defence review of risk and control assessments, such as compliance, legal, business continuity, technology, and other risk management groups. However, a number of banks continued to state that the second line of defence responsibilities were not yet fully implemented as they relate to change management. In addition, a small number of banks noted that these other control groups were primarily responsible for performing the risk and control assessments, which is not fully aligned with the concept of the three lines of defence. Some banks also noted that the corporate operational risk function (CORF) was only involved in the process through membership in the approval and oversight committee. Participation in a committee may not fully provide for the opportunity to provide an effective challenge to the first line of defence’s risk and control assessment. Review of the Principles for the Sound Management of Operational Risk 3"
bcbs292_p7_c1,bcbs292,bcbs292.pdf,7,7,,"In addition, many banks noted an absence of, or a partially implemented, process for monitoring of risks following the approval of the initiative, as well as an absence of a formal postimplementation review process. Operational risk appetite and tolerance (Principle 4) Many banks generally indicated that establishing a risk appetite and tolerance statement was more challenging for operational risk than for other risk categories, such as credit risk and market risk, and attributed this to the nature and pervasiveness of operational risk. For those banks that have established an operational risk appetite and tolerance statement, a commonly observed practice was the inclusion of a metric such as operational losses as a percentage of gross revenue. However, these metrics tended to be backward- rather than forward-looking. As a result, many banks indicated that work is under way to enhance the existing operational risk appetite and tolerance statement. Role of disclosure (Principle 11) Most banks said that their general quality of operational risk disclosure is fully compliant, pointing to the existence of a specific section for operational risk in the annual report or individually developed disclosure templates under the Basel Framework’s Pillar 3 requirement. However, they do not disclose sensitive information relating to control gaps or issues, suggesting that these disclosures tend to be primarily high-level statements. The relative lack of information on the operational risk profile and how banks manage their operational risk may be attributable to inadequate implementation of a disclosure policy that is subject to approval and oversight by the board. Three lines of defence Most banks reported that they comply fully with the “three lines of defence” principle. Judging from the comments submitted, however, it is apparent that a range of practice exists relating to the implementation of the three lines of defence. In a few cases, banks inappropriately classified responsibilities across each of the three lines of defence (eg they assigned various business line responsibilities to the second line of defence). Some banks also noted more significant challenges in the consistency of the application and their ability to substantiate the independent review of the operational risk management tools used by the first line of defence. A few banks noted insufficient resources within the CORF. In addition, a large number of banks have yet to fully develop a quality assurance programme that is applicable within the second line of defence. Most banks indicated that responsibilities relating to the"
bcbs292_p7_c2,bcbs292,bcbs292.pdf,7,7,,"to substantiate the independent review of the operational risk management tools used by the first line of defence. A few banks noted insufficient resources within the CORF. In addition, a large number of banks have yet to fully develop a quality assurance programme that is applicable within the second line of defence. Most banks indicated that responsibilities relating to the third line of defence were fulfilled. They noted that those performing review and challenge of the design and effectiveness of the bank’s operational risk management controls, processes and systems are not involved in the development, implementation and operation of the operational risk management framework. Most banks also said that internal audit coverage of the framework is adequate. They added that the review of both the first and second lines of defence is sufficient and commensurate with other risk management functions where they follow a risk-based approach when determining the frequency and scope of the audit. However, almost a third of the banks noted that further enhancements were needed or planned to ensure full compliance and, as outlined in other sections of this report, some banks noted that coverage was limited to the operational risk model and its inputs, rather than the implementation of the overall operational risk management framework (ORMF). Furthermore, most banks indicated that internal audit has sufficient resources to carry out its responsibilities as a third line of defence. However, a few banks noted that their third line of defence responsibilities needed improvement in terms of definition, execution and monitoring, and that staffing within internal audit was insufficient. 4 Review of the Principles for the Sound Management of Operational Risk"
